Level,Spirhalite shard level-up costs (cumulative +1 to +N),,,,,,"You can pay Spirhalite shards in order to power up weapons. For example, upgrading a level 30 weapon 5 times will show ""30 +5"".",,,,,,,,,,,,,,,,,,,,
36,2590,2719,2855,2998,3148,,,,,,,,35,"18,386","316,105",,"316,121",,,,,,,,,,
37,2636,2767,2906,3051,3204,,,,,,,,36,"19,306","335,411",,"335,427",,,,,,,,,,
38,2681,2815,2955,3103,3258,,,,,,,,37,"20,271","355,682",,"355,698",,,,,,,,,,
39,2727,2863,3006,3156,3314,,,,,,,,38,"21,284","376,966",,"376,983",,,,,,,,,,
40,2772,2910,3056,3208,3369,3537,3714,3900,4095,4300,,,39,"22,349","399,315",,"399,333",,,,,,,,,,
41,2818,2958,3106,3262,3425,3596,3776,3965,4163,4371,,,40,"23,466","422,781",+4 gems,"422,799",,,,,,,,,,
42,2863,3006,3156,3314,3479,,,,,,,,41,"24,639","447,420",,"447,439",,,,,,,,,,
43,2909,3054,3207,3367,3535,,,,,,,,42,"25,871","473,291",,"473,311",,,,,,,,,,
44,2954,3101,3256,3419,3590,,,,,,,,43,"27,165","500,456",,"500,477",,,,,,,,,,
45,3000,3149,3307,3472,3646,,,,,,,,44,"28,523","528,979",,"529,001",,,,,,,,,,
46,3196,3355,3523,3699,3884,,,,,,,,45,"29,949","558,928",,"558,951",,,,,,,,,,
47,3272,3435,3607,3787,3977,,,,,,,,46,"31,447","590,375",,"590,398",,,,,,,,,,
48,3348,3515,3691,3875,4069,,,,,,,,47,"33,019","623,394",,"623,418",,,,,,,,,,
49,3424,3595,3774,3963,4161,,,,,,,,48,"34,670","658,064",,"658,089",,,,,,,,,,
50,3500,3674,3858,4051,4254,4466,4690,4924,5171,5429,...,,49,"36,404","694,468",,"694,493",,,,,,,,,,
,multiplied by:,1.0497,1.0501,1.0500,1.0501,1.0498,1.0502,1.0499,1.0502,1.0499,,,50,"38,224","732,692",+5 gems,"732,718",,,,,,,,,,
,,,,,,,,,,,, ,,,,,,,,,,,,,,,
