Level,Splattershot Jr. – Shot,Splattershot – Shot,Splat Brella – Single shot,Mini Splatling – Shot,Splat Dualies – Shot,Octobrush – Inking on the go,Tri-Stringer – Explosion,Heavy Splatling – Shot,E-liter – Minimum charge,Squiffer – Minimum charge,Tenta Brella – Single shot,Squelcher – Shot,Glooga Dualies – Pre-Dodge Roll,Octobrush – Brush swing,Glooga Dualies – Post-Dodge Roll,Rapid Blaster Pro – Explosion,Splatana Stamper – Horizontal slash,Blaster – Explosion (min),Splat Roller – Inkling on the go,Sloshing Machine - Explosion,Tri-Sringer – Full charge,Splat Roller – Horizontal swing,Splat Brella – Launched brella,Blaster – Explosion (max),Slosher – Single slosh,Splat Brella – All shots hit,Rapid Blaster Pro – Direct hit,Splatana Stamper – Charged slash,Splat Roller – Vertical swing,Sloshing Machine – Direct hit,Blaster – Direct hit,Splatana Stamper – Charged slash (direct hit),Dynamo Roller – Horizontal swing,Squiffer – Full charge,Tenta Brella – Launched brella,Dynamo Roller – Vertical swing,Tenta Brella – All shots hit,Dynamo Roller – Inkling on the go,E-liter – Full charge,,,Assuming the player-dmg-to-weapon-dmg multiplier for E-liter is,,,,,,5.4,(see next tab),,,,,,,,,,,,,,,,,,,,,,.
24,1582,1898,1898,2056,2056,2109,2109,,2637,2637,2689,2848,2848,3164,4113,4746,5274,,6329,6329,6329,7911,7911,,8438,9493,9493,9493,10548,10548,,11603,12658,13185,13185,18987,18987,31645,31645,,,,5860.185,,1360.185,,1.0795,,,,,,,,,,,,,,,,,,,,,,,,
25,1611,1934,1934,2095,2095,2149,2149,,2686,2686,,2901,2901,3223,4190,4835,,5910,6447,6447,6447,8059,8059,8274,8596,9671,9671,,10746,10746,11820,,12895,13432,,19342,,32238,32238,,,,5970.000,,1470.000,,1.0807,,,,,,,,,,,,,,,,,,,,,,,,
26,1643,1972,1972,2136,2136,2191,2191,,2739,2739,2793,2958,2958,3286,4272,,,6025,6573,,6573,8217,8217,8436,8764,9860,,,10956,,12051,,13147,13695,13695,19720,19720,32868,32868,,,,6086.667,,1586.667,,1.0794,,,,,,,,,,,,,,,,,,,,,,,,
27,1677,2012,2012,2180,2180,2236,,,2795,2795,2851,3019,3019,3354,4361,,,6150,6709,,,8387,8387,8610,8946,10064,,,11182,,12301,,13419,13978,13978,20129,20129,33548,33548,,,,6212.593,,1712.593,,1.0794,,,,,,,,,,,,,,,,,,,,,,,,
28,1714,2057,2057,2228,2228,2286,,,2857,2857,2914,3086,3086,3429,4457,5143,,6286,6858,6858,,8572,8572,8801,9144,10287,10287,,11430,11430,12573,,13716,14288,14288,20575,20575,34291,34291,,,,6350.185,,1850.185,,1.0803,,,,,,,,,,,,,,,,,,,,,,,,
29,1754,2105,2105,2280,2280,2339,,2631,2923,2923,2982,3157,3157,3508,4561,5262,5847,6432,7017,7017,,8771,8771,9005,9356,10525,10525,10525,11695,11695,12864,12864,14034,14619,14619,21051,21051,35085,35085,,,,6497.222,,1997.222,,1.0795,,,,,,,,,,,,,,,,,,,,,,,,
30,1797,2156,2156,2336,2336,2396,,2695,2995,2995,3055,,3234,3594,4672,5391,5990,6589,7188,7188,,8985,8985,9225,9584,10782,10782,10782,11980,11980,13178,13178,14376,14976,14976,21565,21565,35942,35942,,,,6655.926,,2155.926,,1.0795,,,,,,,,,,,,,,,,,,,,,,,,
31,1843,2212,2212,2396,2396,2458,2458,2765,3072,3072,3134,3318,3318,3687,4793,5531,6145,6760,7374,7374,7374,9218,9218,9464,9833,11062,11062,11062,12291,12291,13520,13520,14749,15364,15364,22124,22124,36874,36874,,,,6828.519,,2328.519,,1.0801,,,,,,,,,,,,,,,,,,,,,,,,
32,1894,2272,2272,2462,2462,2525,2525,2841,3156,2156,3220,3409,3409,3788,4924,5682,6313,6945,7576,6945,7576,9470,9470,9723,10102,11364,11364,11364,12627,12627,13890,13890,15153,15784,15784,22729,22729,37882,37882,,,,7015.185,,2515.185,,1.0802,,,,,,,,,,,,,,,,,,,,,,,,
33,1948,2337,2337,2532,2532,,2597,2922,3247,3247,3312,3506,3506,,5065,5844,6494,7143,7793,7143,7793,9741,9741,10001,10391,11689,11689,11689,12988,12988,14287,14287,15586,16236,16236,23379,23379,38966,38966,,,,7215.926,,2715.926,,1.0798,,,,,,,,,,,,,,,,,,,,,,,,
34,2006,2408,2408,2608,2608,2675,2675,3010,3344,3344,3411,3612,3612,4013,5217,,6689,7358,8027,7358,8027,10034,10034,10302,10703,12041,,12041,13379,13379,14717,14717,16055,16724,16724,24082,24082,40138,40138,,,,7432.963,,2932.963,,1.0799,,,,,,,,,,,,,,,,,,,,,,,,
35,2070,2484,2484,2691,2691,2760,2760,3105,3450,3450,3519,3726,3726,4141,5383,,6901,7591,8282,7591,8282,10352,10352,10628,11042,12423,,12423,13803,13803,15183,15183,16564,17254,17254,24846,24846,41410,41410,,,,7668.519,,3168.519,,1.0803,,,,,,,,,,,,,,,,,,,,,,,,
36,2139,2567,2567,2780,2780,2852,2852,3208,3565,3565,3636,3850,3850,4278,5561,,7130,7843,8556,7843,8556,10696,10696,10981,11409,12835,,12835,14261,14261,15687,15687,17113,17826,17826,25670,25670,42784,42784,,,,7922.963,,3422.963,,1.0803,,,,,,,,,,,,,,,,,,,,,,,,
37,2212,2655,2655,2876,2876,2950,,3319,,3688,3761,3983,3983,4425,5753,,7376,8114,,8114,,,11064,11359,,13277,,13277,,14752,16228,16228,17703,18441,18441,26555,26555,44258,44258,,,,8195.926,,3695.926,,1.0797,,,,,,,,,,,,,,,,,,,,,,,,
38,2292,2751,2751,2980,2980,3057,,3439,,3821,,4127,4127,4585,5961,,7643,8407,,9171,,,11464,11770,,13757,,13757,,15286,16814,16814,18343,19107,,27515,,45858,45858,,,,8492.222,,3992.222,,1.0802,,,,,,,,,,,,,,,,,,,,,,,,
39,2379,2855,2855,3093,3093,3172,3172,,3965,3965,,4282,4282,4758,6186,7137,7930,8723,,9516,9516,,11896,12213,12689,14275,14275,14275,,15861,17447,17447,19033,19827,,28550,,47584,47584,,,,8811.852,,4311.852,,1.0801,,,,,,,,,,,,,,,,,,,,,,,,
40,2472,2966,2966,3214,3214,3296,3296,,4120,4120,4203,4450,4450,4944,6428,7417,8241,9065,,9889,9889,,12362,12692,13186,14834,14834,14834,,16483,18131,18131,19779,20604,20604,29669,29669,49449,49449,,,,9157.222,,4657.222,,1.0801,,,,,,,,,,,,,,,,,,,,,,,,
41,2573,3087,3087,3345,3345,3431,,3859,4288,4288,4374,4631,4631,5146,6690,7719,8577,9435,10293,10293,,12866,12866,13209,13724,15439,15439,15439,17155,17155,18870,18870,20586,21444,21444,30879,30879,51465,51465,,,,9530.556,,5030.556,,1.0802,,,,,,,,,,,,,,,,,,,,,,,,
42,2681,3217,3217,3486,3486,3575,,4022,4469,4469,4558,4826,4826,5363,6972,8044,8938,9832,10726,9832,,13408,13408,13765,14302,16089,16089,16089,17877,17877,19665,19665,21453,22347,22347,32179,32179,53632,53632,,,,9931.852,,5431.852,,1.0798,,,,,,,,,,,,,,,,,,,,,,,,
43,2798,3358,3358,3638,3638,3731,,4198,4664,4664,4757,5037,5037,5597,7276,8396,9329,,11195,10262,,13994,13994,,14927,16792,16792,16792,18658,18658,,20524,22390,23323,23323,33585,33585,55976,55976,,,,10365.926,,5865.926,,1.0799,,,,,,,,,,,,,,,,,,,,,,,,
44,2925,3510,3510,3803,3803,3900,3900,4388,4875,4875,4973,5265,5265,5850,7606,8776,9751,,11701,10726,11701,14627,14627,,15602,17552,17552,17552,19503,19503,,21453,23403,24378,24378,35105,35105,58509,58509,,,,10835.000,,6335.000,,1.0800,,,,,,,,,,,,,,,,,,,,,,,,
45,3062,3674,,3980,3980,4082,,4593,5103,5103,5205,5511,,6124,,9186,10207,,12248,11227,,15310,,,16331,,18372,18372,20414,20414,,22455,24497,25518,25518,36745,36745,61243,61243,,,,11341.296,,6841.296,,1.0799,,,,,,,,,,,,,,,,,,,,,,,,
46,3210,3852,3852,4173,4173,4280,,4815,5350,5350,5457,5778,,6420,,9630,10700,,12840,11770,,16051,16051,,17121,19261,19261,19261,21401,21401,,23541,,26751,26751,,38522,,64204,,,,11889.630,,7389.630,,1.0802,,,,,,,,,,,,,,,,,,,,,,,,
47,3369,4043,4043,4380,4380,4492,,5054,5616,5616,5728,6065,,6739,,10108,11232,,13478,12355,,16848,16848,,17971,20217,20217,20217,22464,22565,,24710,,28080,28080,,40435,,67392,,,,12480.000,,7980.000,,1.0799,,,,,,,,,,,,,,,,,,,,,,,,
48,3542,4250,4250,4604,4604,4722,4722,5313,5903,5903,6021,6375,6375,7084,9209,10626,11807,12988,14168,14168,14168,17711,17711,18183,18891,21253,21253,21253,23614,23614,25976,25976,,29518,29518,,42506,,70844,,,,13119.259,,8619.259,,1.0801,,,,,,,,,,,,,,,,,,,,,,,,
49,3728,4474,4474,4847,4847,4971,4971,5593,6214,5214,6338,6711,6711,7457,9694,11186,12429,13671,14914,13671,14914,18643,18643,19140,19886,22372,22372,22372,24858,24858,27343,27343,,31072,31072,,44744,,74574,,,,13810.000,,9310.000,,1.0801,,,,,,,,,,,,,,,,,,,,,,,,
50,3929,4715,4715,5108,5108,5239,5239,5894,6549,6549,6680,7073,7073,7859,10217,11789,13098,14408,15718,15718,15718,19648,19648,20172,20958,23578,23578,23578,26197,26197,28817,28817,31437,32747,32747,47156,47156,78593,78593,,,,14554.259,,10054.259,,1.0799,,,,,,,,,,,,,,,,,,,,,,,,
51,3997,4797,4797,5197,5197,5330,5330,5996,6662,6662,6796,7195,7195,7995,10394,11993,13325,14658,15990,15590,15990,19988,19988,20521,21321,23986,23986,23986,26651,26651,29316,29316,31981,33314,33314,47972,47972,79954,79954,,,,14806.296,,10306.296,,1.0251,,,,,,,,,,,,,,,,,,,,,,,,
52,4067,4880,4880,5287,5289,5422,5422,6100,6778,6778,6913,7320,7320,8134,10574,12201,13556,14912,16268,16268,16268,20335,20335,20877,21690,24402,24402,24402,27113,27113,29824,29824,32536,33891,33891,48804,48804,81340,81340,,,,15062.963,,10562.963,,1.0249,,,,,,,,,,,,,,,,,,,,,,,,
53,4138,4965,4965,5379,5379,5517,5517,6207,6897,6897,7034,7448,7448,8276,10759,12414,13794,15173,16552,16552,16552,20691,20691,21242,22070,24829,24829,24829,27588,27588,30346,30346,33105,34485,34485,49658,49658,82764,82764,,,,15326.667,,10826.667,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
54,4211,5053,5053,5474,5474,5615,5615,6316,7018,7018,7159,7580,7580,8422,10949,12633,14037,15441,16845,16845,16845,21056,21056,21617,,25267,25267,25267,28075,28075,30882,30882,33690,35094,35094,50535,50535,84225,84225,,,,15597.222,,11097.222,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
55,4286,,5143,5572,5572,5715,5715,6429,7143,7143,7286,7715,7715,8572,11144,12858,14287,15716,17145,17145,17145,21431,21431,22002,,25717,25717,25717,28575,28575,31432,31432,34290,35718,35718,51435,51435,85725,85725,,,,15875.000,,11375.000,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,7271,,7417,,,,,,14543,,,,,,,,,,,26178,,,,31996,,,36359,,52357,,87262,,,,16159.630,,11659.630,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,7403,,7551,,,,,,14806,,,,,,,,,,,26651,,,,32573,,,37015,,53302,,88837,,,,16451.296,,11951.296,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,7537,,7688,,,,,,15075,,,,,,,,,,,27135,,,,33165,,,37687,,54270,,90450,,,,16750.000,,12250.000,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,7675,,7828,,,,,,15350,,,,,,,,,,,27630,,,,33770,,,38375,,55260,,92100,,,,17055.556,,12555.556,,1.0249,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,7816,,7973,,,,,,15633,,,,,,,,,,,28140,,,,34393,,,39084,,56280,,93801,,,,17370.556,,12870.556,,1.0251,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13192.319,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13522.127,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13860.181,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14206.685,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14561.852,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14925.899,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15299.046,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15681.522,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16073.560,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16475.399,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16887.284,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17309.466,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17742.203,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18185.758,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18640.402,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19106.412,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19584.072,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20073.674,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20575.516,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21089.904,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21617.152,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22157.580,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22711.520,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23279.308,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23861.291,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24457.823,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25069.268,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25696.000,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26338.400,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26996.860,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27671.782,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28363.576,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29072.666,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29799.482,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30544.469,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31308.081,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(I didn't have a set of weapons at +10, +20, etc. to actually figure this out,",32090.783,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"but based on my current +42 splatling the x1.025 trend continues all the way to +49, then +50 is larger to land just shy of 35000.)",32893.053,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33715.379,,1.0250,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34997.744,,1.0380,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
