,Plastic-Bottle Splattershot,,,Water-Wing Splattershot Jr.,,,Jam Squelcher,,,Balloon Roller,,,Duct Roller,,,Diesel 4K,,,Detergent Charger,,,Polyethylene Slosher,,,Oil-Drum Pow Slosher,,,LPG Splatling,,,Gas-Can Splatling,,,Diner Dualies,,,Aluminum Twincans,,,Palm Brella,,,Tarp Brella,,,Oil Blaster,,,Toy-Claw Blaster,,,Cycle Brush,,,Bamboo Stringer,,,Wooden Splatana,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
7,1576,,,1313,,,,,,6569,8759,5255,,,,,,,10949,2189,,7007,,,,,,,,,,,,,,,,,,,,,,,,9635,6744,4817,,,,2627,1751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1586,,,1322,,,,,,6610,8814,5288,,,,,,,11017,2203,,7051,,,,,,,,,,,,,,,,,,,,,,,,9695,6786,4847,,,,2644,1762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1597,,,1330,,,,,,6654,8872,5323,,,,,,,11091,2218,,,,,,,,,,,,,,,,,,,,7895,1597,6654,,,,9760,6832,4880,,,,2661,1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1608,,,1340,,,,,,6701,8935,5361,,,,,,,11169,2233,,,,,,,,,,,,,,,,,,,,8042,1608,6701,,,,9829,6880,4914,,,,2680,1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1620,,,1350,,,,,,6752,9003,5401,,,,,,,11253,2250,,,,,,,,,,,,,,,,,,,,8102,1620,6752,,,,9903,6932,4951,,,,2700,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1633,,,1361,,,,,,6805,9074,5444,,,,,,,,,,,,,,,,,,,,,,,,,,,,8166,1633,6805,,,,9981,6987,4990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1647,,,,,,,,,6865,9154,5492,,,,,,,,,,,,,,,,,,,,,,,,,,,,8238,1647,6865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1662,,,1385,,,,,,6928,9238,5542,,,,,,,,,,,,,,,,,,,,,,,,,,,,8314,1662,6928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1679,,,1399,,,2519,,,,,,,,,,,,11663,2332,,,,,,,,,,,1819,,,,,,,,,8397,1679,6997,,,,10263,7184,5131,8379,4198,,,,,,,,4665,8397,10263,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1696,,,1414,,,2545,,,,,,,,,,,,11784,2356,,,,,9427,5656,,,,,1838,,,1838,,,,,,8484,1696,7070,16968,2403,11784,10369,7258,5184,8484,4242,,2828,1885,,1885,5656,,4713,8484,10369,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1715,,,1429,,,2573,,,,,,,,,,,,11915,2383,,7625,,,9532,5719,,,,,1858,,,1858,,,2573,3717,,8578,1715,7149,17157,2430,11915,10485,7339,5242,8578,4289,,2859,1906,,,,,4766,8578,10485,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1736,,,1446,,,2604,,,7234,9645,5787,,,,28936,2411,,12057,2411,,7716,,,9645,5787,,,,,1880,,,1880,,,2604,3761,,8681,1736,7234,17362,2459,12057,10610,7427,5305,8681,4340,,2893,1929,,,,,4822,8681,10610,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1758,,,1465,,,2637,,,7325,9767,5860,,,,29302,2441,,12209,2441,,7813,,,9767,5860,,,,,1904,,,1904,,,2637,3809,,8790,1758,7325,17581,2490,12209,10744,7520,5372,8790,4395,,2930,1953,,1953,5860,,4883,8790,10744,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1782,,,1485,,,2673,,,7426,9901,5941,11882,17823,29705,29705,2475,,12377,2475,,7921,,,9901,5941,,,,,1930,,,1930,,,2673,3861,,8911,1782,7426,17823,2524,12377,10891,7624,5445,8911,4455,,2970,1980,,,,,4950,8911,10891,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1808,,,1506,,,2712,,,7533,10044,6026,12053,18080,30133,30133,2511,,12555,2511,,8035,,,10044,6026,,,,,1958,,,1958,,,2712,3917,,9040,1808,7533,18080,2561,12555,11049,7734,5524,9040,4520,,3013,2008,,,,,5022,9040,11049,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1836,,,1530,,,2754,,,7650,10200,6120,12240,18360,30600,30600,2550,,12750,2550,,8160,,,10200,6120,,,,,1989,,,1989,,,2754,3978,,9180,1836,7650,18360,2601,12750,11220,7854,5610,9180,4590,,3060,2040,,,,,5100,9180,11220,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1866,,,1555,,,2799,,,7776,10368,6220,12441,18662,31104,31104,2592,,12960,2592,,8294,,,10368,6220,,,,,2021,,,2021,,,2799,4043,,9331,1866,7776,18662,2643,12960,11404,7983,5702,9331,4665,,3110,2073,,,,,5184,9331,11404,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1898,,,1582,,,2848,,,7911,10548,6329,12658,18987,31645,31645,2637,,13185,2637,,8438,,,10548,6329,,,,,2056,,,2056,,,2848,4113,,9493,1898,7911,18987,2689,13185,,,,9493,4746,,3164,2109,,2109,6329,,5274,9493,11603,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1934,,,1611,,,2901,,,8059,10746,6447,12895,19342,32238,32238,2686,,13432,2686,,8596,,,10746,6447,,,,,2095,,,2095,,,2901,4190,,9671,1934,8059,,,,11820,8274,5910,9671,4835,,3223,2149,,2149,6447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1972,,,1643,,,2958,,,8217,10956,6573,13147,19720,32868,32868,2739,,13695,2739,,8764,,,,,,,,,2136,,,2136,,,2958,4272,,9860,1972,8217,19720,2793,13695,12051,8436,6025,,,,3286,2191,,2191,6573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2012,,,1677,,,3019,,,8387,11182,6709,13419,20129,33548,33548,2795,,13978,2795,,8946,,,,,,,,,2180,,,2180,,,3019,4361,,10064,2012,8387,20129,2851,13978,12301,8610,6150,,,,3354,2236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2057,,,1714,,,3086,,,8572,11430,6858,13716,20575,34291,34291,2857,,14288,2857,,9144,,,11430,6858,,,,,2228,,,2228,,,3086,4457,,10287,2057,8572,20575,2914,14288,12573,8801,6286,10287,5143,,3429,2286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2105,,,1754,,,3157,,,8771,11695,7017,14034,21051,35085,35085,2923,,14619,2923,,9356,,,11695,7017,,2631,,,2280,,,2280,,,3157,4561,,10525,2105,8771,21051,2982,14619,12864,9005,6432,10525,5262,,3508,2339,,,,,5847,10525,12864,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2156,,,1797,,,,,,8985,11980,7188,14376,21565,35942,35942,2995,,14976,2995,,9584,,,11980,7188,,2695,,,2336,,,2336,,,3234,4672,,10782,2156,8985,21565,3055,14976,13178,9225,6589,10782,5391,,3594,2396,,,,,5990,10782,13178,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2212,,,1843,,,3318,,,9218,12291,7374,14749,22124,36874,36874,3072,,15364,3072,,9833,,,12291,7374,,2765,,,2396,,,2396,,,3318,4793,,11062,2212,9218,22124,3134,15364,13520,9464,6760,11062,5531,,3687,2458,,2458,7374,,6145,11062,13520,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2272,,,1894,,,3409,,,9470,12627,7576,15153,22729,37882,37882,3156,,15784,2156,,10102,,,12627,6945,,2841,,,2462,,,2462,,,3409,4924,,11364,2272,9470,22729,3220,15784,13890,9723,6945,11364,5682,,3788,2525,,2525,7576,,6313,11364,13890,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2337,,,1948,,,3506,,,9741,12988,7793,15586,23379,38966,38966,3247,,16236,3247,,10391,,,12988,7143,,2922,,,2532,,,2532,,,3506,5065,,11689,2337,9741,23379,3312,16236,14287,10001,7143,11689,5844,,,,,2597,7793,,6494,11689,14287,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2408,,,2006,,,3612,,,10034,13379,8027,16055,24082,40138,40138,3344,,16724,3344,,10703,,,13379,7358,,3010,,,2608,,,2608,,,3612,5217,,12041,2408,10034,24082,3411,16724,14717,10302,7358,,,,4013,2675,,2675,8027,,6689,12041,14717,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2484,,,2070,,,3726,,,10352,13803,8282,16564,24846,41410,41410,3450,,17254,3450,,11042,,,13803,7591,,3105,,,2691,,,2691,,,3726,5383,,12423,2484,10352,24846,3519,17254,15183,10628,7591,,,,4141,2760,,2760,8282,,6901,12423,15183,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2567,,,2139,,,3850,,,10696,14261,8556,17113,25670,42784,42784,3565,,17826,3565,,11409,,,14261,7843,,3208,,,2780,,,2780,,,3850,5561,,12835,2567,10696,25670,3636,17826,15687,10981,7843,,,,4278,2852,,2852,8556,,7130,12835,15687,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2655,,,2212,,,3983,,,,,,17703,26555,44258,,,,18441,3688,,,,,14752,8114,,3319,,,2876,,,2876,,,3983,5753,,13277,2655,11064,26555,3761,18441,16228,11359,8114,,,,4425,2950,,,,,7376,13277,16228,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2751,,,2292,,,4127,,,,,,18343,27515,45858,,,,19107,3821,,,,,15286,9171,,3439,,,2980,,,2980,,,4127,5961,,13757,2751,11464,,,,16814,11770,8407,,,,4585,3057,,,,,7643,13757,16814,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2855,,,2379,,,4282,,,,,,19033,28550,47584,47584,3965,,19827,3965,,12689,,,15861,9516,,,,,3093,,,3093,,,4282,6186,,14275,2855,11896,,,,17447,12213,8723,14275,7137,,4758,3172,,3172,9516,,7930,14275,17447,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2966,,,2472,,,4450,,,,,,19779,29669,49449,49449,4120,,20604,4120,,13186,,,16483,9889,,,,,3214,,,3214,,,4450,6428,,14834,2966,12362,29669,4203,20604,18131,12692,9065,14834,7417,,4944,3296,,3296,9889,,8241,14834,18131,,,,,,,,,,,,,,,,,,,,,,,,,,
41,3087,,,2573,,,4631,,,12866,17155,10293,20586,30879,51465,51465,4288,,21444,4288,,13724,,,17155,10293,,3859,,,3345,,,3345,,,4631,6690,,15439,3087,12866,30879,4374,21444,18870,13209,9435,15439,7719,,5146,3431,,,,,8577,15439,18870,,,,,,,,,,,,,,,,,,,,,,,,,,
42,3217,,,2681,,,4826,,,13408,17877,10726,21453,32179,53632,53632,4469,,22347,4469,,14302,,,17877,9832,,4022,,,3486,,,3486,,,4826,6972,,16089,3217,13408,32179,4558,22347,19665,13765,9832,16089,8044,,5363,3575,,,,,8938,16089,19665,,,,,,,,,,,,,,,,,,,,,,,,,,
43,3358,,,2798,,,5037,,,13994,18658,11195,22390,33585,55976,55976,4664,,23323,4664,,14927,,,18658,10262,,4198,,,3638,,,3638,,,5037,7276,,16792,3358,13994,33585,4757,23323,,,,16792,8396,,5597,3731,,,,,9329,16792,20524,,,,,,,,,,,,,,,,,,,,,,,,,,
44,3510,,,2925,,,5265,,,14627,19503,11701,23403,35105,58509,58509,4875,,24378,4875,,15602,,,19503,10726,,4388,,,3803,,,3803,,,5265,7606,,17552,3510,14627,35105,4973,24378,,,,17552,8776,,5850,3900,,3900,11701,,9751,17552,21453,,,,,,,,,,,,,,,,,,,,,,,,,,
45,3674,,,3062,,,5511,,,15310,20414,12248,24497,36745,61243,61243,5103,,25518,5103,,16331,,,20414,11227,,4593,,,3980,,,3980,,,,,,,,,36745,5205,25518,,,,18372,9186,,6124,4082,,,,,10207,18372,22455,,,,,,,,,,,,,,,,,,,,,,,,,,
46,3852,,,3210,,,5778,,,16051,21401,12840,,,,64204,5350,,26751,5350,,17121,,,21401,11770,,4815,,,4173,,,4173,,,,,,19261,3852,16051,38522,5457,26751,,,,19261,9630,,6420,4280,,,,,10700,19261,23541,,,,,,,,,,,,,,,,,,,,,,,,,,
47,4043,,,3369,,,6065,,,16848,22464,13478,,,,67392,5616,,28080,5616,,17971,,,22565,12355,,5054,,,4380,,,4380,,,,,,20217,4043,16848,40435,5728,28080,,,,20217,10108,,6739,4492,,,,,11232,20217,24710,,,,,,,,,,,,,,,,,,,,,,,,,,
48,4250,,,3542,,,6375,,,17711,23614,14168,,,,70844,5903,,29518,5903,,18891,,,23614,14168,,5313,,,4604,,,4604,,,6375,9209,,21253,4250,17711,42506,6021,29518,25976,18183,12988,21253,10626,,7084,4722,,4722,14168,,11807,21253,25976,,,,,,,,,,,,,,,,,,,,,,,,,,
49,4474,,,3728,,,6711,,,18643,24858,14914,,,,74574,6214,,31072,5214,,19886,,,24858,13671,,5593,,,4847,,,4847,,,6711,9694,,22372,4474,18643,44744,6338,31072,27343,19140,13671,22372,11186,,7457,4971,,4971,14914,,12429,22372,27343,,,,,,,,,,,,,,,,,,,,,,,,,,
50,4715,,,3929,,,7073,,,19648,26197,15718,31437,47156,78593,78593,6549,,32747,6549,,20958,,,26197,15718,,5894,,,5108,,,5108,,,7073,10217,,23578,4715,19648,47156,6680,32747,28817,20172,14408,23578,11789,,7859,5239,,5239,15718,,13098,23578,28817,,,,,,,,,,,,,,,,,,,,,,,,,,
51,4797,,,3997,,,7195,,,19988,26651,15990,31981,47972,79954,79954,6662,,33314,6662,,21321,,,26651,15590,,5996,,,5197,,,5197,,,7195,10394,,23986,4797,19988,47972,6796,33314,29316,20521,14658,23986,11993,,7995,5330,,5330,15990,,13325,23986,29316,,,,,,,,,,,,,,,,,,,,,,,,,,
52,4880,,,4067,,,7320,,,20335,27113,16268,32536,48804,81340,81340,6778,,33891,6778,,21690,,,27113,16268,,6100,,,5287,,,5289,,,7320,10574,,24402,4880,20335,48804,6913,33891,29824,20877,14912,24402,12201,,8134,5422,,5422,16268,,13556,24402,29824,,,,,,,,,,,,,,,,,,,,,,,,,,
53,4965,,,4138,,,7448,,,20691,27588,16552,33105,49658,82764,82764,6897,,34485,6897,,22070,,,27588,16552,,6207,,,5379,,,5379,,,7448,10759,,24829,4965,20691,49658,7034,34485,30346,21242,15173,24829,12414,,8276,5517,,5517,16552,,13794,24829,30346,,,,,,,,,,,,,,,,,,,,,,,,,,
54,5053,,,4211,,,7580,,,21056,28075,16845,33690,50535,84225,84225,7018,,35094,7018,,,,,28075,16845,,6316,,,5474,,,5474,,,7580,10949,,25267,5053,21056,50535,7159,35094,30882,21617,15441,25267,12633,,8422,5615,,5615,16845,,14037,25267,30882,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,4286,,,7715,,,21431,28575,17145,34290,51435,85725,85725,7143,,35718,7143,,,,,28575,17145,,6429,,,5572,,,5572,,,7715,11144,,25717,5143,21431,51435,7286,35718,31432,22002,15716,25717,12858,,8572,5715,,5715,17145,,14287,25717,31432,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,87262,7271,,,,,,,,,,,,,,,,,,,,,,,,,,52357,7417,36359,,,,,,,,,,,,,14543,26178,31996,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,88837,7403,,,,,,,,,,,,,,,,,,,,,,,,,,53302,7551,37015,,,,,,,,,,,,,14806,26651,32573,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,90450,7537,,,,,,,,,,,,,,,,,,,,,,,,,,54270,7688,37687,,,,,,,,,,,,,15075,27135,33165,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,92100,7675,,,,,,,,,,,,,,,,,,,,,,,,,,55260,7828,38375,,,,,,,,,,,,,15350,27630,33770,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,93801,7816,,,,,,,,,,,,,,,,,,,,,,,,,,56280,7973,39084,,,,,,,,,,,,,15633,28140,34393,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Alternatively, here's weapon data for a level 50+100 player, still with +200% weapon damage, ranging from weapon level 50 to 100.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plastic-Bottle Splattershot,,,Water-Wing Splattershot Jr.,,,Jam Squelcher,,,Balloon Roller,,,Duct Roller,,,Diesel 4K,,,Detergent Charger,,,Polyethylene Slosher,,,Oil-Drum Pow Slosher,,,LPG Splatling,,,Gas-Can Splatling,,,Diner Dualies,,,Aluminum Twincans,,,Palm Brella,,,Tarp Brella,,,Oil Blaster,,,Toy-Claw Blaster,,,Cycle Brush,,,Bamboo Stringer,,,Wooden Splatana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Soap-Bottle Splattershot,,,Flamingo Splattershot Jr.,,,Perfume Squelcher,,,Shrimp Roller,,,Turbine Roller,,,Unleaded 4K,,,Cleaner Charger,,,Sand Slosher,,,Shichirin Pow Slosher,,,ABC Splatling,,,Buoy Splatling,,,Sippy-Cup Dualies,,,Steel Twincans,,,Flower Brella,,,Food-Stall Brella,,,Steam Blaster,,,Toy-Horn Blaster,,,Pulley Brush,,,Racket Stringer,,,Plastic Splatana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level,Glass-Bottle Splattershot,,,Lifeguard Splattershot Jr.,,,Olive-Oil Squelcher,,,Inner-Tube Roller,,,Engine Roller,,,High-Octane 4K,,,Bleach Charger,,,Camo Slosher,,,Clay-Pot Pow Slosher,,,LN2 Splatling,,,Water-Jug Splatling,,,Sport-Bottle Dualies,,,Titanium Twincans,,,Fruit Brella,,,Thermal Brella,,,Butane Blaster,,,Toy-Shark Blaster,,,Touring Brush,,,Alpine Stringer,,,Rail Splatana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,4780,,,3983,,,7170,,,19918,26558,15934,31869,47804,79674,79674,6639,,33197,6639,,21246,,,26558,15934,,5975,,,5178,,,5178,,,7170,10357,,23902,4780,19918,47804,6772,33197,29213,20449,14606,23902,11951,,7967,5311,,5311,15934,,13279,23902,29213,,,,,,,,,,,,,,,,,,,,,,,,,,
51,4862,,,4051,,,7293,,,20258,27011,16207,32414,48621,81035,81035,6752,,33764,6752,,21609,,,27011,16207,,6077,,,5267,,,5267,,,7293,10534,,24310,4862,20258,48621,6887,33764,29712,20799,14856,24310,12155,,8103,5402,,5402,16207,,13505,24310,29712,,,,,,,,,,,,,,,,,,,,,,,,,,
52,4945,,,4121,,,7417,,,20605,27473,16484,32968,49452,82421,82421,6868,,34342,6868,,21979,,,27473,16464,,6181,,,5357,,,5357,,,7417,10714,,24726,4945,20605,49452,7005,34342,30221,21154,15110,24726,12363,,8242,5494,,5494,16484,,13736,24726,30221,,,,,,,,,,,,,,,,,,,,,,,,,,
53,5030,,,4192,,,7546,,,20961,27948,16769,33538,50307,83845,83845,6987,,34935,6987,,22358,,,27948,16769,,6288,,,5449,,,5449,,,7546,10899,,25153,5030,20961,50307,7126,34935,30743,21520,15371,25153,12576,,8384,5589,,5589,16769,,13974,25153,30743,,,,,,,,,,,,,,,,,,,,,,,,,,
54,5118,,,4265,,,7677,,,21326,28435,17061,34122,51184,85306,85306,7108,,35544,7108,,22748,,,28435,17061,,6398,,,5544,,,5544,,,7677,11089,,25592,5118,21326,51184,7251,35544,31279,21895,15639,25592,12796,,8530,5687,,5687,17061,,14217,25592,31279,,,,,,,,,,,,,,,,,,,,,,,,,,
55,5208,,,4340,,,7812,,,21701,28935,17361,34722,52083,86806,86806,7233,,36169,7233,,23148,,,28935,17361,,6510,,,5642,,,5642,,,7812,11284,,26041,5208,21701,52083,7378,36169,31828,22280,15914,26041,13020,,8680,5787,,5787,17361,,14467,26041,31828,,,,,,,,,,,,,,,,,,,,,,,,,,
56,5300,,,4417,,,7950,,,22085,29447,17668,35337,53005,88343,88343,7361,,36809,7361,,23558,,,29447,17668,,6625,,,5742,,,5742,,,7950,11484,,26502,5300,22805,53005,7509,36809,32392,22674,16196,26502,13251,,8834,5889,,5889,17668,,14723,26502,32392,,,,,,,,,,,,,,,,,,,,,,,,,,
57,5395,,,4495,,,8092,,,22479,29972,17983,35967,53950,89918,89918,7493,,37465,7493,,23978,,,29972,17983,,6743,,,5844,,,5844,,,8092,11689,,26975,5395,22479,53950,7643,37465,32970,23079,16485,26975,13487,,8991,5994,,5994,17983,,14986,26975,32970,,,,,,,,,,,,,,,,,,,,,,,,,,
58,5491,,,4576,,,8237,,,22882,30510,18306,36612,54918,91531,91531,7627,,38137,7627,,24408,,,30510,18306,,6864,,,5949,,,5949,,,8237,11899,,27459,5491,22882,54918,7780,38137,33561,23492,16780,27459,13729,,9153,6102,,6102,18306,,15255,27459,33561,,,,,,,,,,,,,,,,,,,,,,,,,,
59,5590,,,4659,,,8386,,,23295,31060,18636,37272,55909,93181,83181,7765,,38825,7765,,24848,,,31060,18636,,6988,,,6056,,,6056,,,8386,12113,,27954,5590,23295,55909,7920,38825,34166,23916,17083,27954,13977,,9318,6212,,6212,18636,,15530,27954,34166,,,,,,,,,,,,,,,,,,,,,,,,,,
60,5692,,,4744,,,8539,,,23720,31627,18976,37953,56929,94882,94882,7906,,39534,7906,,25302,,,31627,18976,,7116,,,6167,,,6167,,,8539,12334,,28464,5692,23720,56929,8065,39534,34790,24353,17395,28464,14232,,9488,6325,,6325,18976,,15813,28464,34790,,,,,,,,,,,,,,,,,,,,,,,,,,
61,5797,,,4831,,,8695,,,24155,32207,19324,38648,57972,96621,96621,8051,,40258,8051,,25765,,,32207,19324,,7246,,,6280,,,6280,,,8695,12560,,28986,5797,24155,57972,8212,40258,35427,24799,17713,28986,14493,,9662,6441,,6441,19324,,16103,28986,35427,,,,,,,,,,,,,,,,,,,,,,,,,,
62,5903,,,4919,,,8855,,,24599,32799,19679,39359,59038,98398,98398,8199,,40999,8199,,26239,,,32799,19679,,7379,,,6395,,,6395,,,8855,12791,,29519,5903,24599,59038,8363,40999,36079,25255,18039,29519,14759,,9839,6559,,6559,19679,,16399,29519,36079,,,,,,,,,,,,,,,,,,,,,,,,,,
63,6013,,,5011,,,9020,,,25056,33408,20045,40090,60135,100225,100225,8352,,41760,8352,,26726,,,33408,20045,,7516,,,6514,,,6514,,,9020,13029,,30067,6013,25056,60135,8519,41760,36749,25724,18374,30067,15033,,10022,6681,,6681,20045,,16704,30067,36749,,,,,,,,,,,,,,,,,,,,,,,,,,
