Level,base HP,DMG,EXP to next,,,displayed HP,tank,adjusted,,,,compared to previous level...,,,,,,,,,,,,,,,,,,.
77,513.5,4554,"400,000",,,2567,500%,513.40,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
78,514.0,4556,"400,000",,,2570,500%,514.00,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
79,514.5,4558,"400,000",,,2572,500%,514.40,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
80,515.0,4560,"400,000",,,2575,500%,515.00,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
81,515.5,4562,"400,000",,,2577,500%,515.60,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
82,516.0,4564,"400,000",,,2580,500%,516.20,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
83,516.5,4566,"400,000",,,2582,500%,516.80,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
84,517.0,4568,"400,000",,,2585,500%,517.40,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
85,517.5,4570,"400,000",,,2587,500%,518.00,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
86,518.0,4572,"400,000",,,2590,500%,518.60,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
87,518.5,4574,"400,000",,,2592,500%,519.20,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
88,519.0,4576,"400,000",,,2595,500%,519.80,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
89,519.5,4578,"400,000",,,2597,500%,520.40,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
90,520.0,4580,"400,000",,,2600,500%,521.00,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
91,520.5,4582,"400,000",,,2602,500%,521.60,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
92,521.0,4584,"400,000",,,2605,500%,522.20,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
93,521.5,4586,"400,000",,,2607,500%,522.80,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
94,522.0,4588,"400,000",,,2610,500%,523.40,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
95,522.5,4590,"400,000",,,2612,500%,524.00,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
96,523.0,4592,"400,000",,,2615,500%,524.60,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
97,523.5,4594,"400,000",,,2617,500%,525.20,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
98,524.0,4596,"400,000",,,2620,500%,525.80,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
99,524.5,4598,"400,000",,,2622,500%,526.40,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
100,525.0,4600,"400,000",,,2625,500%,527.00,,,,,1.001,1.000,1.000,,,,,,,,,,,,,,,
